id,gender,height,religion,caste,mother_tongue,profession,location,country,age_of_marriage
1,female,"5'4""",,others,Telugu,,London, United Kingdom,21
2,male,"5'7""",Jain, Shwetamber,Gujarati,Doctor / Healthcare Professional,Fairfax- VA, USA,32
3,male,"5'7""",Hindu, Brahmin,Hindi,Entrepreneurs / Business ,Begusarai, India,32
4,female,"5'0""",Hindu, Thakur,Hindi,Architect,Mumbai, India,30
5,male,"5'5""",Christian, Born Again,Malayalam,Sales Professional / Marketing,Sulthan Bathery, India,30
6,male,"5'5""",Hindu, Valmiki,Hindi,Sportsman,Delhi, India,29
7,female,"5'2""",Hindu, Rajput - Lodhi,Hindi,Banking Professional,Jodhpur, India,28
8,male,"5'5""",Hindu, Bhatia,Punjabi,Entrepreneurs / Business ,Faridabad, India,30
9,female,"5'5""",Jain, Shwetamber,Gujarati,Software Professional,Vadodara, India,35
10,female,"5'1""",Hindu, Billava,Tulu,HR Professional,Bengaluru / Bangalore, India,32
11,female,"5'3""",,others,Tamil,Not working,Chennai, India,29
12,male,"5'9""",Hindu, Brahmin,Bengali,Finance Professional,Suri, India,32
13,male,"5'10""",Hindu, Vanniyar,Tamil,Not Specified,Vellore, India,28
14,male,,,others,,,Vilathikulam, India,31
15,female,"5'1""",Hindu, Agri,Marathi,Not Specified,Mumbai, India,30
16,female,"5'2""",Christian, Marthoma,Malayalam,Not working,Kollam, India,31
17,female,"5'6""",,others,Marwari,,Bengaluru / Bangalore, India,35
18,female,"5'3""",Hindu, Ahom,Assamese,Not working,Assam, India,28
19,female,"5'3""",Hindu, Bhatia,Hindi,Chartered Accountant,Delhi, India,28
20,male,"5'4""",Hindu, Baishnab,Bengali,Sales Professional / Marketing,Dhubri, India,29
21,female,"5'3""",Christian, Roman Catholic,Hindi,Logistics and Travel Professional,Mumbai, India,31
22,female,"4'5""",,others,Bengali,Not working,Midnapore, India,20
23,male,"5'9""",Hindu, Ahom,Assamese,Defense Services,Jorhat, India,29
24,male,"5'6""",Jain, Shwetamber,Hindi,Entrepreneurs / Business ,Vadodara, India,35
25,female,"5'3""",Hindu, Brahmin,Marathi,Software Professional,Pleasanton- CA, USA,29
26,female,"5'4""",Hindu, Agri,Marathi,Doctor / Healthcare Professional,Raigad, India,28
27,male,"5'7""",,others,Tamil,Marketing Professional,Bengaluru / Bangalore, India,35
28,male,"5'10""",Hindu, Lingayath,Kannada,Software Professional,San Francisco- CA, USA,34
29,female,"5'2""",Hindu, Kalita,Assamese,Team Member / Staff,Assam, India,29
30,male,"5'10""",,others,Telugu,,Noida, India,26
31,male,"5'9""",Hindu, Vaishnav,Gujarati,Managers and Senior Executives,Mumbai, India,32
32,,,,others,Hindi,Not working,Kannauj, India,27
33,male,"5'7""",,,Hindi,,, India,33
34,male,"5'11""",Hindu, Brahmin,Marathi,Not Specified,Mumbai, India,32
35,male,"5'11""",,others,Malayalam,Hardware & Networking professional,Mumbai, India,24
36,male,"5'6""",Hindu, Sahu,Hindi,Not Specified,Sagar, India,27
37,male,"5'6""",,others,Bengali,Civil Engineer,Kolkata, India,25
38,female,"5'3""",Hindu, Baishya,Bengali,Chartered Accountant,Bengaluru / Bangalore, India,29
39,female,"5'8""",Hindu, Sahu,Hindi,Admin Professional,Lucknow, India,26
40,female,"5'6""",Muslim, Memon,Hindi,Accounting Professional (Others),Berhampur, India,26
41,female,"5'3""",Hindu, Brahmin,Hindi,Investment Professional,Lakhisarai, India,30
42,male,,,others,Telugu,Not Specified,Nizamabad, India,25
43,female,"4'5""",Hindu, Lingayath,Kannada,Not Specified,Mysuru / Mysore, India,31
44,male,"5'8""",Hindu, Agarwal,Punjabi,Civil Engineer,Sydney, Australia,30
45,male,"5'11""",Hindu, Billava,Tulu,Consultant / Supervisor / Team Leads,Mumbai, India,28
46,female,"5'6""",Hindu, Agarwal,Punjabi,Entrepreneurs / Business ,Panchkula, India,27
47,male,"5'7""",Hindu, Sahu,Hindi,Public Relations Professional,Sagar, India,27
48,male,"5'9""",Hindu, Rajput - Lodhi,Hindi,Sportsman,Bengaluru / Bangalore, India,30
49,male,"5'8""",Hindu, Rajput - Lodhi,Hindi,Software Professional,Agra, India,31
50,female,"5'0""",Hindu, Panchal,Hindi,Admin Professional,Karnal, India,30
51,female,"5'1""",Jain, Shwetamber,Hindi,Finance Professional,Ahmedabad, India,35
52,male,"5'1""",Hindu, Baidya,Bengali,Banking Professional,Silchar, India,30
53,female,"6'5""",Hindu, Kaibarta,Assamese,Not working,Sibsagar, India,29
54,male,"5'11""",,others,,,Howra, India,35
55,male,"5'10""",Christian, Marthoma,Malayalam,HR Professional,Kozhikode, India,33
56,male,"5'7""",Hindu, Brahmin,Hindi,Managers and Senior Executives,Delhi, India,32
57,male,"5'9""",Hindu, Agri,Marathi,Software Professional,Mumbai, India,31
58,female,"5'4""",Hindu, Sindhi-Sakkhar,Sindhi,Not Specified,Gwalior, India,28
59,female,"5'2""",Hindu, Rajput - Lodhi,Hindi,Not working,Aligarh, India,27
60,female,"5'1""",Hindu, Baishya,Bengali,Not working,Kolkata, India,27
61,male,"5'6""",Hindu, Viswabrahmin,Telugu,Training Professional (Others),Tanuku, India,29
62,female,"5'5""",Hindu, Patel,English,Hotel & Hospitality Professional (Others),Dubai, United Arab Emirates,30
63,female,"5'9""",Jain, Shwetamber,Marwari,Entrepreneurs / Business ,Siliguri, India,35
64,female,"5'4""",Hindu, Patel,Gujarati,Software Professional (Others),Ahmedabad, India,29
65,female,"5'2""",Hindu, Baidya,Bengali,Nurse,Siliguri, India,28
66,female,"4'11""",Hindu, Scheduled Caste (SC),Hindi,Accounting Professional (Others),Mumbai, India,34
67,male,"5'11""",Sikh, Kshatriya,Punjabi,Not Specified,Punjab, India,30
68,female,"5'0""",Hindu, Rajput - Lodhi,Hindi,Artist (Others),Mumbai, India,29
69,female,"5'3""",Christian, Marthoma,Malayalam,HR Professional,Mumbai, India,32
70,female,"5'4""",Christian, Marthoma,Malayalam,Nurse,Chicago- IL, USA,29
71,female,"5'3""",Christian, Born Again,Tamil,Software Professional,Coimbatore, India,30
72,female,"5'3""",Christian, Marthoma,Malayalam,Non IT Engineer (Others),Delhi, India,31
73,male,"5'10""",Hindu, Brahmin,Marathi,Doctor / Healthcare Professional,Ratnagiri, India,30
74,male,"5'7""",Hindu, Kalita,Assamese,Training Professional (Others),Guwahati, India,28
75,male,"5'5""",Hindu, Kaibarta,Odia,Defense Services,Orissa, India,31
76,female,"5'5""",Hindu, Baishya,Hindi,Not working,Gorakhpur, India,27
77,female,"5'3""",Hindu, Agri,Marathi,Not Specified,Raigad, India,30
78,male,"5'8""",Hindu, Sindhi-Sakkhar,Sindhi,Event Manager,Delhi, India,27
79,female,"5'2""",Sikh, Ramdasia,Punjabi,Not working,Moga, India,30
80,,,,others,Malayalam,,Kerala, India,24
81,female,"5'5""",Christian, Roman Catholic,Konkani,Software Professional (Others),Bengaluru / Bangalore, India,30
82,female,"5'5""",Sikh, Khatri,Punjabi,Marketing Professional,Noida, India,31
83,female,"5'2""",Jain, Shwetamber,Hindi,Science Professional (Others),Delhi, India,32
84,female,"5'4""",Hindu, OBC - Barber/Naayee,Assamese,Managers and Senior Executives,Guwahati, India,29
85,male,"4'7""",Hindu, Kaibarta,Assamese,Defense Services,Golaghat, India,31
86,male,"5'8""",Hindu, Kaibarta,Odia,Mechanical / Production Engineer,Cuttack, India,28
87,male,"4'9""",Hindu, Patel,Gujarati,Banking Professional,Surat, India,31
88,male,"5'11""",Hindu, Brahmin,Telugu,Research Assistant,Bengaluru / Bangalore, India,33
89,male,"5'8""",,others,Malayalam,Electronics / Telecom Engineer,Goa, India,29
